# darshan log version: 3.21
# compression method: ZLIB
# exe: /homes/csl782/pnetcdf-1.12.0/src/utils/ncvalidator/.libs/tst_open ./bad_tag_vattr.nc2 NC_ENOTNC
# uid: 18622
# jobid: 28167
# start_time: 1610421683
# start_time_asci: Mon Jan 11 21:21:23 2021
# end_time: 1610421683
# end_time_asci: Mon Jan 11 21:21:23 2021
# nprocs: 1
# run time: 1
# metadata: lib_ver = 3.2.1
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 258 bytes (compressed)
# record table: 138 bytes (compressed)
# POSIX module: 116 bytes (compressed), ver=4
# MPI-IO module: 95 bytes (compressed), ver=3
# STDIO module: 58 bytes (compressed), ver=2

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/a/nncore/files11	nfs
# mount entry:	/mnt/usrlocal	nfs
# mount entry:	/files1	ext4
# mount entry:	/files2	ext4
# mount entry:	/files3	ext4
# mount entry:	/files4	ext4
# mount entry:	/files5	ext4
# mount entry:	/files6	ext4
# mount entry:	/files7	ext4
# mount entry:	/files8	ext4
# mount entry:	/homes	nfs
# mount entry:	/depot	nfs
# mount entry:	/boot	ext4
# mount entry:	/meas	nfs
# mount entry:	/mail	nfs
# mount entry:	/tmp	ext4
# mount entry:	/usr	ext4
# mount entry:	/var	ext4
# mount entry:	/vol	nfs
# mount entry:	/net	nfs
# mount entry:	/	ext4

# description of columns:
#   <module>: module responsible for this I/O record.
#   <rank>: MPI rank.  -1 indicates that the file is shared
#      across all processes and statistics are aggregated.
#   <record id>: hash of the record's file path
#   <counter name> and <counter value>: statistical counters.
#      A value of -1 indicates that Darshan could not monitor
#      that counter, and its value should be ignored.
#   <file name>: full file path for the record.
#   <mount pt>: mount point that the file resides on.
#   <fs type>: type of file system that the file resides on.

# *******************************************************
# POSIX module data
# *******************************************************

# description of POSIX counters:
#   POSIX_*: posix operation counts.
#   READS,WRITES,OPENS,SEEKS,STATS,MMAPS,SYNCS,FILENOS,DUPS are types of operations.
#   POSIX_RENAME_SOURCES/TARGETS: total count file was source or target of a rename operation
#   POSIX_RENAMED_FROM: Darshan record ID of the first rename source, if file was a rename target
#   POSIX_MODE: mode that file was opened in.
#   POSIX_BYTES_*: total bytes read and written.
#   POSIX_MAX_BYTE_*: highest offset byte read and written.
#   POSIX_CONSEC_*: number of exactly adjacent reads and writes.
#   POSIX_SEQ_*: number of reads and writes from increasing offsets.
#   POSIX_RW_SWITCHES: number of times access alternated between read and write.
#   POSIX_*_ALIGNMENT: memory and file alignment.
#   POSIX_*_NOT_ALIGNED: number of reads and writes that were not aligned.
#   POSIX_MAX_*_TIME_SIZE: size of the slowest read and write operations.
#   POSIX_SIZE_*_*: histogram of read and write access sizes.
#   POSIX_STRIDE*_STRIDE: the four most common strides detected.
#   POSIX_STRIDE*_COUNT: count of the four most common strides.
#   POSIX_ACCESS*_ACCESS: the four most common access sizes.
#   POSIX_ACCESS*_COUNT: count of the four most common access sizes.
#   POSIX_*_RANK: rank of the processes that were the fastest and slowest at I/O (for shared files).
#   POSIX_*_RANK_BYTES: bytes transferred by the fastest and slowest ranks (for shared files).
#   POSIX_F_*_START_TIMESTAMP: timestamp of first open/read/write/close.
#   POSIX_F_*_END_TIMESTAMP: timestamp of last open/read/write/close.
#   POSIX_F_READ/WRITE/META_TIME: cumulative time spent in read, write, or metadata operations.
#   POSIX_F_MAX_*_TIME: duration of the slowest read and write operations.
#   POSIX_F_*_RANK_TIME: fastest and slowest I/O time for a single rank (for shared files).
#   POSIX_F_VARIANCE_RANK_*: variance of total I/O time and bytes moved for all ranks (for shared files).

# WARNING: POSIX_OPENS counter includes both POSIX_FILENOS and POSIX_DUPS counts

# WARNING: POSIX counters related to file offsets may be incorrect if a file is simultaneously accessed by both POSIX and STDIO (e.g., using fileno())
# 	- Affected counters include: MAX_BYTE_{READ|WRITTEN}, CONSEC_{READS|WRITES}, SEQ_{READS|WRITES}, {MEM|FILE}_NOT_ALIGNED, STRIDE*_STRIDE

#<module>	<rank>	<record id>	<counter>	<value>	<file name>	<mount pt>	<fs type>
POSIX	-1	4682501916369046942	POSIX_OPENS	2	/files4/home/csl782/pnetcdf-1.12.0/src/utils/ncvalidator/bad_tag_vattr.nc2	/files4	ext4
POSIX	-1	4682501916369046942	POSIX_FILENOS	0	/files4/home/csl782/pnetcdf-1.12.0/src/utils/ncvalidator/bad_tag_vattr.nc2	/files4	ext4
POSIX	-1	4682501916369046942	POSIX_DUPS	0	/files4/home/csl782/pnetcdf-1.12.0/src/utils/ncvalidator/bad_tag_vattr.nc2	/files4	ext4
POSIX	-1	4682501916369046942	POSIX_READS	3	/files4/home/csl782/pnetcdf-1.12.0/src/utils/ncvalidator/bad_tag_vattr.nc2	/files4	ext4
POSIX	-1	4682501916369046942	POSIX_WRITES	0	/files4/home/csl782/pnetcdf-1.12.0/src/utils/ncvalidator/bad_tag_vattr.nc2	/files4	ext4
POSIX	-1	4682501916369046942	POSIX_SEEKS	0	/files4/home/csl782/pnetcdf-1.12.0/src/utils/ncvalidator/bad_tag_vattr.nc2	/files4	ext4
POSIX	-1	4682501916369046942	POSIX_STATS	0	/files4/home/csl782/pnetcdf-1.12.0/src/utils/ncvalidator/bad_tag_vattr.nc2	/files4	ext4
POSIX	-1	4682501916369046942	POSIX_MMAPS	-1	/files4/home/csl782/pnetcdf-1.12.0/src/utils/ncvalidator/bad_tag_vattr.nc2	/files4	ext4
POSIX	-1	4682501916369046942	POSIX_FSYNCS	0	/files4/home/csl782/pnetcdf-1.12.0/src/utils/ncvalidator/bad_tag_vattr.nc2	/files4	ext4
POSIX	-1	4682501916369046942	POSIX_FDSYNCS	0	/files4/home/csl782/pnetcdf-1.12.0/src/utils/ncvalidator/bad_tag_vattr.nc2	/files4	ext4
POSIX	-1	4682501916369046942	POSIX_RENAME_SOURCES	0	/files4/home/csl782/pnetcdf-1.12.0/src/utils/ncvalidator/bad_tag_vattr.nc2	/files4	ext4
POSIX	-1	4682501916369046942	POSIX_RENAME_TARGETS	0	/files4/home/csl782/pnetcdf-1.12.0/src/utils/ncvalidator/bad_tag_vattr.nc2	/files4	ext4
POSIX	-1	4682501916369046942	POSIX_RENAMED_FROM	0	/files4/home/csl782/pnetcdf-1.12.0/src/utils/ncvalidator/bad_tag_vattr.nc2	/files4	ext4
POSIX	-1	4682501916369046942	POSIX_MODE	0	/files4/home/csl782/pnetcdf-1.12.0/src/utils/ncvalidator/bad_tag_vattr.nc2	/files4	ext4
POSIX	-1	4682501916369046942	POSIX_BYTES_READ	104	/files4/home/csl782/pnetcdf-1.12.0/src/utils/ncvalidator/bad_tag_vattr.nc2	/files4	ext4
POSIX	-1	4682501916369046942	POSIX_BYTES_WRITTEN	0	/files4/home/csl782/pnetcdf-1.12.0/src/utils/ncvalidator/bad_tag_vattr.nc2	/files4	ext4
POSIX	-1	4682501916369046942	POSIX_MAX_BYTE_READ	95	/files4/home/csl782/pnetcdf-1.12.0/src/utils/ncvalidator/bad_tag_vattr.nc2	/files4	ext4
POSIX	-1	4682501916369046942	POSIX_MAX_BYTE_WRITTEN	0	/files4/home/csl782/pnetcdf-1.12.0/src/utils/ncvalidator/bad_tag_vattr.nc2	/files4	ext4
POSIX	-1	4682501916369046942	POSIX_CONSEC_READS	1	/files4/home/csl782/pnetcdf-1.12.0/src/utils/ncvalidator/bad_tag_vattr.nc2	/files4	ext4
POSIX	-1	4682501916369046942	POSIX_CONSEC_WRITES	0	/files4/home/csl782/pnetcdf-1.12.0/src/utils/ncvalidator/bad_tag_vattr.nc2	/files4	ext4
POSIX	-1	4682501916369046942	POSIX_SEQ_READS	1	/files4/home/csl782/pnetcdf-1.12.0/src/utils/ncvalidator/bad_tag_vattr.nc2	/files4	ext4
POSIX	-1	4682501916369046942	POSIX_SEQ_WRITES	0	/files4/home/csl782/pnetcdf-1.12.0/src/utils/ncvalidator/bad_tag_vattr.nc2	/files4	ext4
POSIX	-1	4682501916369046942	POSIX_RW_SWITCHES	0	/files4/home/csl782/pnetcdf-1.12.0/src/utils/ncvalidator/bad_tag_vattr.nc2	/files4	ext4
POSIX	-1	4682501916369046942	POSIX_MEM_NOT_ALIGNED	0	/files4/home/csl782/pnetcdf-1.12.0/src/utils/ncvalidator/bad_tag_vattr.nc2	/files4	ext4
POSIX	-1	4682501916369046942	POSIX_MEM_ALIGNMENT	8	/files4/home/csl782/pnetcdf-1.12.0/src/utils/ncvalidator/bad_tag_vattr.nc2	/files4	ext4
POSIX	-1	4682501916369046942	POSIX_FILE_NOT_ALIGNED	1	/files4/home/csl782/pnetcdf-1.12.0/src/utils/ncvalidator/bad_tag_vattr.nc2	/files4	ext4
POSIX	-1	4682501916369046942	POSIX_FILE_ALIGNMENT	4096	/files4/home/csl782/pnetcdf-1.12.0/src/utils/ncvalidator/bad_tag_vattr.nc2	/files4	ext4
POSIX	-1	4682501916369046942	POSIX_MAX_READ_TIME_SIZE	96	/files4/home/csl782/pnetcdf-1.12.0/src/utils/ncvalidator/bad_tag_vattr.nc2	/files4	ext4
POSIX	-1	4682501916369046942	POSIX_MAX_WRITE_TIME_SIZE	0	/files4/home/csl782/pnetcdf-1.12.0/src/utils/ncvalidator/bad_tag_vattr.nc2	/files4	ext4
POSIX	-1	4682501916369046942	POSIX_SIZE_READ_0_100	3	/files4/home/csl782/pnetcdf-1.12.0/src/utils/ncvalidator/bad_tag_vattr.nc2	/files4	ext4
POSIX	-1	4682501916369046942	POSIX_SIZE_READ_100_1K	0	/files4/home/csl782/pnetcdf-1.12.0/src/utils/ncvalidator/bad_tag_vattr.nc2	/files4	ext4
POSIX	-1	4682501916369046942	POSIX_SIZE_READ_1K_10K	0	/files4/home/csl782/pnetcdf-1.12.0/src/utils/ncvalidator/bad_tag_vattr.nc2	/files4	ext4
